Name,Address,Latitude,Longitude,rating,text,time
Bailey Group Hotel,"733 Carolyn Ferry, South Danielleshire, WI 56708",-76.648143,-158.057956,4.4,Stuff magazine art good none commercial professional us issue.,8/30/2024
Morales Inc Park,"606 Morgan Flat, Castillochester, WV 06382",-20.581408,-148.228301,4.2,Peace same down ready list east leg.,7/5/2024
Larson-Smith Restaurant,"394 Meyer Shoals Apt. 757, New Karenfurt, SD 77219",69.607685,-146.092917,3.3,Ahead weight agreement kind land sound ball entire order space.,1/1/2024
"Camacho, Walsh and Anderson Hotel","119 Michelle Stream Suite 246, West Kaylatown, AL 57515",-22.962305,-154.799361,3.4,May purpose loss western hour simply maintain move.,8/8/2024
Johnson Ltd Museum,"065 Martinez Parkways, South Cynthia, ND 31989",-51.701244,147.466664,4.8,Five hand they without society agency eight.,12/21/2024
"Bruce, Meyers and Webb Cafe","Unit 9298 Box 6219, DPO AA 25940",-5.411456,3.338473,4.5,Beyond at cold base month free above several.,8/4/2024
Miller-Moore Cafe,"76375 Melissa Mount, Figueroatown, VT 28602",-78.156783,-49.828732,3.3,Model everyone focus Mr rule business whether.,9/10/2024
Hill Group Park,"USCGC Johnson, FPO AE 84703",-74.230968,-107.654924,4.7,Computer detail national expert detail word.,5/28/2024
Hester PLC Park,"997 Snyder Ford Apt. 935, Monroeville, IA 65646",54.322525,-91.843328,4.2,You avoid people citizen pay.,3/22/2024
Long Group Restaurant,"32157 Castillo Wall Apt. 988, West Bobby, NC 82606",48.582481,100.440131,4.9,Believe material tax performance knowledge direction.,12/23/2024
Bradshaw-Smith Hotel,"PSC 2837, Box 1525, APO AA 89160",-44.48097,44.84893,3.1,But use time look represent poor partner home performance past rich film.,9/18/2024
"Curtis, Gonzalez and Alvarado Museum","PSC 3172, Box 7093, APO AP 59029",48.794611,151.434645,4.4,Later again part personal them someone up.,10/2/2024
Lee-Young Museum,"767 Howard Prairie, New Rebecca, MN 72266",55.105825,127.626809,3.8,After five between into threat up at career nearly idea on national vote front very.,3/19/2024
"Craig, Ellis and Wolf Cafe","557 Holly Locks Suite 339, Timothyfort, DE 36020",24.153712,3.296032,3.5,Sometimes light role smile western draw beautiful itself particularly positive.,5/7/2024
Kennedy-Nguyen Restaurant,"01926 Moreno Ford Apt. 872, Frankstad, MS 51698",-43.557182,171.022336,3.3,Modern trouble loss drug tend work certain art.,5/6/2024
Smith-Oliver Cafe,"553 Evans Course Apt. 111, Nathanport, NV 98353",-69.230184,-135.444078,4.6,Include present run despite door determine well deep.,9/16/2024
Abbott PLC Museum,"74745 Cameron Keys Apt. 721, Moraleston, MO 75908",75.512956,-0.83497,4.5,Fish investment deep until owner.,8/24/2024
"Hall, Kaiser and Clayton Restaurant","937 Sydney Meadow, South Taylorland, MS 13511",-18.613754,-16.731867,3.9,As expect big choose gas class tax toward rise price forward military southern.,9/28/2024
"Cruz, White and Jimenez Cafe","961 Nelson Roads Apt. 454, Cassieview, IN 65332",26.943528,-29.683291,3.8,Particular reduce room wide until student adult.,4/23/2024
Casey PLC Hotel,"1516 Johnson Meadow Suite 913, North Joseph, VT 09744",87.263733,-97.986195,4.8,Growth statement model on be positive.,8/14/2024
"Johnson, Thornton and Jimenez Park","49100 Patrick Prairie Suite 823, Gregorychester, RI 58586",-9.120058,175.036722,3.1,Several green toward ten morning section price say thousand.,6/28/2024
Lewis LLC Park,"4644 Miranda Ridges Suite 821, Williamville, AK 81478",51.319523,-63.161935,4.9,Light about huge start other who must itself wide.,8/20/2024
James-Shea Hotel,"08199 Davis Stravenue Suite 991, Jonesmouth, TX 25734",70.357028,108.824517,4.4,Official fine situation shake author office newspaper.,10/21/2024
Pham Ltd Hotel,"84418 Fisher Port, New Elizabeth, OH 46717",34.594292,-163.914497,4.9,Management middle area.,11/4/2024
Gomez LLC Museum,"Unit 5617 Box 4838, DPO AE 79835",17.880824,26.765214,3.5,Other speech vote trial table.,10/19/2024
Clay-Flynn Hotel,"7786 Thomas Ville Suite 194, East Thomasview, OH 47291",-28.220319,176.915822,4.6,Campaign plant career suffer executive street south.,6/29/2024
Bailey and Sons Hotel,"09743 Scott Crest, Elliston, MA 67142",6.774664,-15.14792,3.8,Gun soldier in have his total I.,9/9/2024
"Norman, Sandoval and Lewis Park","1819 Natalie Knoll, South James, NH 02999",73.601822,114.805827,3.5,Pull or chair art future quickly add away factor.,5/21/2024
Hancock and Sons Hotel,"8871 Ricardo Ridge, Lindaport, ND 81488",19.924823,-71.99895,3.2,Particular energy rock usually six other she over knowledge agreement write consumer really newspaper week expert.,11/19/2024
Zimmerman-Johnston Hotel,"4871 Joseph Ranch, Rogersfurt, TN 85221",-82.933044,-43.016515,4.6,Camera blue white push yes as avoid measure.,2/1/2024
"Boone, Santiago and Anderson Park","034 Clark Port Apt. 105, Christopherton, TN 80706",69.642808,148.432673,3.7,Me sometimes word really billion sure fall that risk.,4/18/2024
Davis-White Park,"67853 Whitney Summit, West David, CO 46784",-37.307311,167.462592,3.8,Only executive realize various often against paper carry lose else sound site key.,5/8/2024
Williams-Lee Museum,"51099 Heidi Rest, Crystalberg, AR 19256",-78.726824,-16.208497,4.5,Car power between yet cover hotel activity.,7/6/2024
White Group Hotel,"881 Jonathan Gardens Apt. 516, North Hannah, AR 96261",-81.558948,-60.163505,3.9,Cold activity seem current who.,9/13/2024
Berger-Porter Park,"2769 Velasquez Fords Suite 225, East Marc, MT 68346",-8.122763,-6.19146,3.5,Husband fact particular rock something.,5/10/2024
"Cox, Stewart and Kaufman Museum","73735 Thomas Center Apt. 870, Reginaton, DC 07220",7.279238,-165.059361,3.5,Serve someone feel pass follow money commercial far point similar bed action majority.,10/20/2024
Rangel Ltd Museum,"08977 Carter Light, Deannafurt, VT 79479",-30.158022,-28.70987,3.3,Expert partner yet should middle parent.,8/20/2024
Miranda-Thompson Restaurant,"78573 Heidi Centers Apt. 060, North Kimberly, NE 18159",21.546337,-162.368354,3.4,World claim picture language live fill shoulder read.,12/11/2024
"Patterson, Valdez and Sutton Museum","22032 Joseph Plaza Suite 374, Ryanchester, NY 40200",-61.219758,-110.217718,3.6,Benefit late letter agent loss under staff natural energy civil.,1/5/2024
"Gregory, Brooks and Johns Museum","447 Melissa Wells Suite 983, Port Dianaview, NC 41843",72.193895,66.248919,4.5,Daughter research audience art audience drive admit thus see include.,1/17/2024
"Cain, Freeman and Cole Hotel","31078 Jose Radial Apt. 009, New Monicafort, OR 29938",-66.150198,136.12281,3,Maintain hair year country.,10/10/2024
"White, Flynn and Johnson Cafe","0723 Ethan Causeway, New Dianaport, OK 71384",-75.205176,87.689922,4.3,Air water right money science.,11/11/2024
"Richardson, Sweeney and Powell Museum","PSC 3807, Box 6859, APO AP 21206",45.542996,-43.858766,5,Energy hear choice believe idea night memory model send still fight both money they specific technology.,9/15/2024
"Miranda, Baker and Lewis Park","729 Jose Knolls, Andersonchester, WV 53504",26.761449,-58.663397,3.8,American huge central only of together.,9/10/2024
"Johnson, White and Adams Cafe","2660 Shaffer Light Suite 290, Port Brandon, MN 28766",-22.790322,-154.393958,3.8,Idea staff coach subject only have cause might work specific girl material form data remain business usually government citizen low.,10/21/2024
"Fischer, Strickland and Smith Hotel","287 Heather Plaza, West Lindsay, NH 22356",4.738161,-17.160129,3.3,Forget others music help part reach bad music senior help.,7/5/2024
Thompson-Bailey Museum,"132 Raymond Flats, East Tammyberg, MA 10440",-85.595421,-120.091288,4.7,Either network late Democrat industry seat each or west fall prevent.,11/19/2024
